# qkey|rule|cf|question
# Need for Achievement (nAch)
F_A1|R1|0.85|Apakah Anda sering menjadi debugger utama dalam tim proyek?
F_A2|R2|0.82|Apakah Anda pernah mengikuti seminar atau pelatihan tentang Machine Learning atau Deep Learning?
F_A3|R3|0.75|Apakah Anda merasa lebih nyaman bekerja dengan sistem operasi berbasis command line seperti Linux?
F_A4|R4|0.80|Apakah Anda pernah menghabiskan lebih dari 4 jam mencari satu solusi teknis di Stack Overflow atau dokumentasi?
F_A5|R5|0.88|Apakah Anda lebih tertarik pada mata kuliah yang menuntut pembuktian matematis atau algoritma yang ketat?
F_A6|R6|0.79|Apakah Anda memiliki pengalaman dalam optimasi kinerja kode seperti mengurangi waktu eksekusi?
F_A7|R7|0.70|Apakah Anda pernah membuat script automation untuk pekerjaan pribadi?
F_A8|R8|0.72|Dalam proyek, apakah Anda lebih suka menerima feedback tentang kelemahan kode Anda?
F_A9|R9|0.86|Jika deadline mepet, apakah Anda akan mengorbankan kecepatan demi kualitas arsitektur kode?
F_A10|R10|0.83|Apakah Anda merasa coding adalah bagian paling menyenangkan dari seluruh siklus pengembangan software?
F_A11|R11|0.77|Apakah Anda sering membandingkan kinerja Anda dengan standar industri atau benchmark?
F_A12|R12|0.74|Apakah Anda memiliki portofolio proyek teknis yang dikerjakan sepenuhnya secara mandiri?
F_A13|R13|0.78|Apakah Anda suka menetapkan tujuan pribadi yang lebih tinggi dari yang diminta oleh dosen?
F_A14|R14|0.70|Apakah Anda lebih tertarik pada backend dan database daripada frontend dan user interface?
F_A15|R15|0.65|Apakah Anda secara teratur membaca jurnal atau publikasi ilmiah terkait IT?
F_A16|R16|0.60|Apakah Anda menggunakan Version Control seperti Git secara teratur?
F_A17|R17|0.73|Apakah Anda lebih suka bekerja sendiri untuk memastikan detail teknis terjamin?
F_A18|R18|0.81|Apakah Anda tertarik meneliti topik yang membutuhkan proof of concept matematis?
F_A19|R19|0.68|Apakah Anda pernah mengembangkan aplikasi yang sepenuhnya berjalan di server tanpa antarmuka visual?
F_A20|R20|0.76|Apakah Anda pernah mengikuti atau berniat mengikuti kompetisi coding atau hackathon?
F_A21|R21|0.75|Apakah Anda pernah mengimplementasikan Design Patterns seperti MVC atau MVVM dalam proyek pribadi?
F_A22|R22|0.69|Apakah Anda pernah mencoba self-hosting server seperti website atau game server?
F_A23|R23|0.84|Apakah Anda pernah berkontribusi kode ke proyek Open Source?
F_A24|R24|0.71|Apakah Anda menganggap clean code lebih penting daripada kode yang cepat selesai?
F_A25|R25|0.73|Apakah Anda pernah melakukan code review untuk rekan tim secara inisiatif?
F_A26|R26|0.88|Apakah Anda merasa termotivasi oleh tantangan latency dan scalability?
F_A27|R27|0.78|Apakah Anda senang mempelajari bahasa pemrograman niche yang sulit?
F_A28|R28|0.76|Apakah Anda sering mencari tahu best practices terbaru dalam arsitektur software?
F_A29|R29|0.87|Apakah Anda lebih tertarik pada Operating System atau Compiler daripada Web Development?
F_A30|R30|0.72|Apakah Anda pernah menggunakan unit testing atau integration testing dalam proyek?
F_A31|R31|0.74|Apakah Anda merasa bertanggung jawab penuh jika terjadi bug kritis pada kode yang Anda tulis?
F_A32|R32|0.81|Apakah Anda pernah membuat custom library atau framework sendiri?
F_A33|R33|0.79|Apakah Anda akan menolak deadline jika yakin kualitas teknis akan terkompromi?
F_A34|R34|0.70|Apakah Anda menganggap refactoring kode lama sebagai pekerjaan yang menyenangkan?
F_A35|R35|0.83|Apakah Anda memiliki minat kuat pada Cyber Security yang memerlukan pemecahan masalah mendalam?
F_A36|R36|0.75|Apakah Anda lebih suka memecahkan masalah dengan logika dan rumus daripada trial and error?
F_A37|R37|0.86|Apakah Anda pernah menulis kode dengan kompleksitas waktu O(N log N) atau lebih baik?
F_A38|R38|0.77|Apakah Anda pernah melakukan migrasi database atau upgrade sistem yang berisiko?
